# Semrush Top 1,000 Non-Overlapping Keyword Bank
# Purpose: Separate broad-market keyword bank, intentionally unrelated to the uploaded LeadForge project industries.
# Source basis: Live Semrush connector samples from overview_rank and domain_adwords reports in AU database.
# Important: Exact Semrush-returned seed keywords are expanded with broad-market search/paid modifiers; all entries are deduped against leadforge_10000_semrush_keyword_bank.txt.
# Count: 1,000 unique keywords. No normalized keyword overlap with the previous 10,000-keyword file.
# Format: [ID] Source Family | Keyword | Semrush Basis | Note


## SEMRUSH SOURCE FAMILY: BOOKING_TRAVEL_CAR_HIRE
[0398] BOOKING_TRAVEL_CAR_HIRE | flights | Basis: flights | Exact keyword returned by Semrush paid/top-domain sample.
[0464] BOOKING_TRAVEL_CAR_HIRE | booking tonight | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0465] BOOKING_TRAVEL_CAR_HIRE | accommodation australia | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0466] BOOKING_TRAVEL_CAR_HIRE | accommodation cheap | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0467] BOOKING_TRAVEL_CAR_HIRE | accommodation deals | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0468] BOOKING_TRAVEL_CAR_HIRE | accommodation last minute | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0469] BOOKING_TRAVEL_CAR_HIRE | accommodation booking | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0470] BOOKING_TRAVEL_CAR_HIRE | accommodation online | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0471] BOOKING_TRAVEL_CAR_HIRE | accommodation comparison | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0472] BOOKING_TRAVEL_CAR_HIRE | accommodation near airport | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0473] BOOKING_TRAVEL_CAR_HIRE | accommodation discount | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0474] BOOKING_TRAVEL_CAR_HIRE | accommodation voucher | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0475] BOOKING_TRAVEL_CAR_HIRE | accommodation family | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0476] BOOKING_TRAVEL_CAR_HIRE | accommodation luxury | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0477] BOOKING_TRAVEL_CAR_HIRE | accommodation budget | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0478] BOOKING_TRAVEL_CAR_HIRE | accommodation weekend | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0479] BOOKING_TRAVEL_CAR_HIRE | accommodation packages | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0480] BOOKING_TRAVEL_CAR_HIRE | accommodation with flights | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0481] BOOKING_TRAVEL_CAR_HIRE | accommodation all inclusive | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0482] BOOKING_TRAVEL_CAR_HIRE | accommodation airport pickup | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0483] BOOKING_TRAVEL_CAR_HIRE | accommodation one way | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0484] BOOKING_TRAVEL_CAR_HIRE | accommodation unlimited km | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0485] BOOKING_TRAVEL_CAR_HIRE | accommodation refundable | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0486] BOOKING_TRAVEL_CAR_HIRE | accommodation today | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0487] BOOKING_TRAVEL_CAR_HIRE | accommodation tonight | Basis: accommodation | Semrush seed plus broad-market commercial/search modifier.
[0488] BOOKING_TRAVEL_CAR_HIRE | flight centre australia | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0489] BOOKING_TRAVEL_CAR_HIRE | flight centre cheap | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0490] BOOKING_TRAVEL_CAR_HIRE | flight centre deals | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0491] BOOKING_TRAVEL_CAR_HIRE | flight centre last minute | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0492] BOOKING_TRAVEL_CAR_HIRE | flight centre booking | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0493] BOOKING_TRAVEL_CAR_HIRE | flight centre online | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0494] BOOKING_TRAVEL_CAR_HIRE | flight centre comparison | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0495] BOOKING_TRAVEL_CAR_HIRE | flight centre near airport | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0496] BOOKING_TRAVEL_CAR_HIRE | flight centre discount | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0497] BOOKING_TRAVEL_CAR_HIRE | flight centre voucher | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0498] BOOKING_TRAVEL_CAR_HIRE | flight centre family | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0499] BOOKING_TRAVEL_CAR_HIRE | flight centre luxury | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0500] BOOKING_TRAVEL_CAR_HIRE | flight centre budget | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0501] BOOKING_TRAVEL_CAR_HIRE | flight centre weekend | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0502] BOOKING_TRAVEL_CAR_HIRE | flight centre packages | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0503] BOOKING_TRAVEL_CAR_HIRE | flight centre with flights | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0504] BOOKING_TRAVEL_CAR_HIRE | flight centre all inclusive | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0505] BOOKING_TRAVEL_CAR_HIRE | flight centre airport pickup | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0506] BOOKING_TRAVEL_CAR_HIRE | flight centre one way | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0507] BOOKING_TRAVEL_CAR_HIRE | flight centre unlimited km | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0508] BOOKING_TRAVEL_CAR_HIRE | flight centre refundable | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0509] BOOKING_TRAVEL_CAR_HIRE | flight centre today | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0510] BOOKING_TRAVEL_CAR_HIRE | flight centre tonight | Basis: flight centre | Semrush seed plus broad-market commercial/search modifier.
[0511] BOOKING_TRAVEL_CAR_HIRE | car rental australia | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0512] BOOKING_TRAVEL_CAR_HIRE | car rental cheap | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0513] BOOKING_TRAVEL_CAR_HIRE | car rental deals | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0514] BOOKING_TRAVEL_CAR_HIRE | car rental last minute | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0515] BOOKING_TRAVEL_CAR_HIRE | car rental booking | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0516] BOOKING_TRAVEL_CAR_HIRE | car rental online | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0517] BOOKING_TRAVEL_CAR_HIRE | car rental comparison | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0518] BOOKING_TRAVEL_CAR_HIRE | car rental near airport | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0519] BOOKING_TRAVEL_CAR_HIRE | car rental discount | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0520] BOOKING_TRAVEL_CAR_HIRE | car rental voucher | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0521] BOOKING_TRAVEL_CAR_HIRE | car rental family | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0522] BOOKING_TRAVEL_CAR_HIRE | car rental luxury | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0523] BOOKING_TRAVEL_CAR_HIRE | car rental budget | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0524] BOOKING_TRAVEL_CAR_HIRE | car rental weekend | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0525] BOOKING_TRAVEL_CAR_HIRE | car rental packages | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0526] BOOKING_TRAVEL_CAR_HIRE | car rental with flights | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0527] BOOKING_TRAVEL_CAR_HIRE | car rental all inclusive | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0528] BOOKING_TRAVEL_CAR_HIRE | car rental airport pickup | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0529] BOOKING_TRAVEL_CAR_HIRE | car rental one way | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0530] BOOKING_TRAVEL_CAR_HIRE | car rental unlimited km | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0531] BOOKING_TRAVEL_CAR_HIRE | car rental refundable | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0532] BOOKING_TRAVEL_CAR_HIRE | car rental today | Basis: car rental | Semrush seed plus broad-market commercial/search modifier.
[0533] BOOKING_TRAVEL_CAR_HIRE | best flights | Basis: flights | Semrush seed with high-demand prefix modifier.
[0534] BOOKING_TRAVEL_CAR_HIRE | best flights australia | Basis: flights | Semrush seed with combined paid-search modifier pattern.

## SEMRUSH SOURCE FAMILY: INSURANCE_COMPARISON_FINANCE
[0657] INSURANCE_COMPARISON_FINANCE | travel insurance | Basis: travel insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0658] INSURANCE_COMPARISON_FINANCE | car insurance | Basis: car insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0659] INSURANCE_COMPARISON_FINANCE | car insurance compare | Basis: car insurance compare | Exact keyword returned by Semrush paid/top-domain sample.
[0660] INSURANCE_COMPARISON_FINANCE | health insurance | Basis: health insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0661] INSURANCE_COMPARISON_FINANCE | youi | Basis: youi | Exact keyword returned by Semrush paid/top-domain sample.
[0662] INSURANCE_COMPARISON_FINANCE | private health insurance | Basis: private health insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0663] INSURANCE_COMPARISON_FINANCE | allianz car insurance | Basis: allianz car insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0664] INSURANCE_COMPARISON_FINANCE | compare the market | Basis: compare the market | Exact keyword returned by Semrush paid/top-domain sample.
[0665] INSURANCE_COMPARISON_FINANCE | compare car insurance | Basis: compare car insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0666] INSURANCE_COMPARISON_FINANCE | car insurance quote | Basis: car insurance quote | Exact keyword returned by Semrush paid/top-domain sample.
[0667] INSURANCE_COMPARISON_FINANCE | mortgage broker | Basis: mortgage broker | Exact keyword returned by Semrush paid/top-domain sample.
[0668] INSURANCE_COMPARISON_FINANCE | home insurance compare | Basis: home insurance compare | Exact keyword returned by Semrush paid/top-domain sample.
[0669] INSURANCE_COMPARISON_FINANCE | health insurance comparison | Basis: health insurance comparison | Exact keyword returned by Semrush paid/top-domain sample.
[0670] INSURANCE_COMPARISON_FINANCE | compare health insurance | Basis: compare health insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0671] INSURANCE_COMPARISON_FINANCE | aami | Basis: aami | Exact keyword returned by Semrush paid/top-domain sample.
[0672] INSURANCE_COMPARISON_FINANCE | car insurance quotes | Basis: car insurance quotes | Exact keyword returned by Semrush paid/top-domain sample.
[0673] INSURANCE_COMPARISON_FINANCE | home insurance comparison | Basis: home insurance comparison | Exact keyword returned by Semrush paid/top-domain sample.
[0674] INSURANCE_COMPARISON_FINANCE | compare comprehensive car insurance | Basis: compare comprehensive car insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0675] INSURANCE_COMPARISON_FINANCE | aami car insurance | Basis: aami car insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0676] INSURANCE_COMPARISON_FINANCE | comprehensive insurance | Basis: comprehensive insurance | Exact keyword returned by Semrush paid/top-domain sample.
[0677] INSURANCE_COMPARISON_FINANCE | travel insurance australia | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0678] INSURANCE_COMPARISON_FINANCE | travel insurance quote | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0679] INSURANCE_COMPARISON_FINANCE | travel insurance quotes | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0680] INSURANCE_COMPARISON_FINANCE | travel insurance compare | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0681] INSURANCE_COMPARISON_FINANCE | travel insurance comparison | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0682] INSURANCE_COMPARISON_FINANCE | travel insurance online | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0683] INSURANCE_COMPARISON_FINANCE | travel insurance cheap | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0684] INSURANCE_COMPARISON_FINANCE | travel insurance best | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0685] INSURANCE_COMPARISON_FINANCE | travel insurance cost | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0686] INSURANCE_COMPARISON_FINANCE | travel insurance calculator | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0687] INSURANCE_COMPARISON_FINANCE | travel insurance policy | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0688] INSURANCE_COMPARISON_FINANCE | travel insurance cover | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0689] INSURANCE_COMPARISON_FINANCE | travel insurance premium | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0690] INSURANCE_COMPARISON_FINANCE | travel insurance renewal | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0691] INSURANCE_COMPARISON_FINANCE | travel insurance discount | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0692] INSURANCE_COMPARISON_FINANCE | travel insurance family | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0693] INSURANCE_COMPARISON_FINANCE | travel insurance senior | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0694] INSURANCE_COMPARISON_FINANCE | travel insurance student | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0695] INSURANCE_COMPARISON_FINANCE | travel insurance business | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0696] INSURANCE_COMPARISON_FINANCE | travel insurance monthly payment | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0697] INSURANCE_COMPARISON_FINANCE | travel insurance claim | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0698] INSURANCE_COMPARISON_FINANCE | travel insurance excess | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0699] INSURANCE_COMPARISON_FINANCE | travel insurance provider | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0700] INSURANCE_COMPARISON_FINANCE | travel insurance plan | Basis: travel insurance | Semrush seed plus broad-market commercial/search modifier.
[0701] INSURANCE_COMPARISON_FINANCE | car insurance australia | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0702] INSURANCE_COMPARISON_FINANCE | car insurance comparison | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0703] INSURANCE_COMPARISON_FINANCE | car insurance online | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0704] INSURANCE_COMPARISON_FINANCE | car insurance cheap | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0705] INSURANCE_COMPARISON_FINANCE | car insurance best | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0706] INSURANCE_COMPARISON_FINANCE | car insurance cost | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0707] INSURANCE_COMPARISON_FINANCE | car insurance calculator | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0708] INSURANCE_COMPARISON_FINANCE | car insurance policy | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0709] INSURANCE_COMPARISON_FINANCE | car insurance cover | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0710] INSURANCE_COMPARISON_FINANCE | car insurance premium | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0711] INSURANCE_COMPARISON_FINANCE | car insurance renewal | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0712] INSURANCE_COMPARISON_FINANCE | car insurance discount | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0713] INSURANCE_COMPARISON_FINANCE | car insurance family | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0714] INSURANCE_COMPARISON_FINANCE | car insurance senior | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0715] INSURANCE_COMPARISON_FINANCE | car insurance student | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0716] INSURANCE_COMPARISON_FINANCE | car insurance business | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0717] INSURANCE_COMPARISON_FINANCE | car insurance monthly payment | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0718] INSURANCE_COMPARISON_FINANCE | car insurance claim | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0719] INSURANCE_COMPARISON_FINANCE | car insurance excess | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0720] INSURANCE_COMPARISON_FINANCE | car insurance provider | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0721] INSURANCE_COMPARISON_FINANCE | car insurance plan | Basis: car insurance | Semrush seed plus broad-market commercial/search modifier.
[0722] INSURANCE_COMPARISON_FINANCE | car insurance compare australia | Basis: car insurance compare | Semrush seed plus broad-market commercial/search modifier.
[0723] INSURANCE_COMPARISON_FINANCE | car insurance compare quote | Basis: car insurance compare | Semrush seed plus broad-market commercial/search modifier.
[0724] INSURANCE_COMPARISON_FINANCE | car insurance compare quotes | Basis: car insurance compare | Semrush seed plus broad-market commercial/search modifier.
[0725] INSURANCE_COMPARISON_FINANCE | car insurance compare compare | Basis: car insurance compare | Semrush seed plus broad-market commercial/search modifier.
[0726] INSURANCE_COMPARISON_FINANCE | car insurance compare comparison | Basis: car insurance compare | Semrush seed plus broad-market commercial/search modifier.
[0727] INSURANCE_COMPARISON_FINANCE | car insurance compare online | Basis: car insurance compare | Semrush seed plus broad-market commercial/search modifier.
[0728] INSURANCE_COMPARISON_FINANCE | car insurance compare cheap | Basis: car insurance compare | Semrush seed plus broad-market commercial/search modifier.
